device_instance,object_identifier,property_name,property_value,address,maxAPDULengthAccepted,segmentationSupported,objectName,description,units
57017,analogInput:1,eventState,normal,24001:17,480,noSegmentation,Energy Rate,Energy Rate - 57017,kiloBtusPerHour
57017,analogInput:1,maxPresValue,1000000000,24001:17,480,noSegmentation,Energy Rate,Energy Rate - 57017,kiloBtusPerHour
57017,analogInput:1,minPresValue,-1000000000,24001:17,480,noSegmentation,Energy Rate,Energy Rate - 57017,kiloBtusPerHour
57017,analogInput:1,outOfService,FALSE,24001:17,480,noSegmentation,Energy Rate,Energy Rate - 57017,kiloBtusPerHour
57017,analogInput:1,presentValue,0,24001:17,480,noSegmentation,Energy Rate,Energy Rate - 57017,kiloBtusPerHour
57017,analogInput:1,reliability,noFaultDetected,24001:17,480,noSegmentation,Energy Rate,Energy Rate - 57017,kiloBtusPerHour
57017,analogInput:1,resolution,1.00E-06,24001:17,480,noSegmentation,Energy Rate,Energy Rate - 57017,kiloBtusPerHour
57017,analogInput:1,statusFlags,"[0, 0, 0, 0]",24001:17,480,noSegmentation,Energy Rate,Energy Rate - 57017,kiloBtusPerHour
57017,analogInput:1,updateInterval,12211218,24001:17,480,noSegmentation,Energy Rate,Energy Rate - 57017,kiloBtusPerHour
57017,analogInput:10,eventState,normal,24001:17,480,noSegmentation,Delta Temperature Average,Delta Temperature Average - 57017,degreesFahrenheit
57017,analogInput:10,maxPresValue,500,24001:17,480,noSegmentation,Delta Temperature Average,Delta Temperature Average - 57017,degreesFahrenheit
57017,analogInput:10,minPresValue,-600,24001:17,480,noSegmentation,Delta Temperature Average,Delta Temperature Average - 57017,degreesFahrenheit
57017,analogInput:10,outOfService,FALSE,24001:17,480,noSegmentation,Delta Temperature Average,Delta Temperature Average - 57017,degreesFahrenheit
57017,analogInput:10,presentValue,8.486508369,24001:17,480,noSegmentation,Delta Temperature Average,Delta Temperature Average - 57017,degreesFahrenheit
57017,analogInput:10,reliability,noFaultDetected,24001:17,480,noSegmentation,Delta Temperature Average,Delta Temperature Average - 57017,degreesFahrenheit
